,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,time_s,phase,color
918,0 days 02:33:20.000000000,4bb859,41.129414186639295,27.83960515802557,214.934801705291,126.92475237251438,-11.70432,PGT13K  ,False,False,False,6434.0,7665.72,8023.860000000002,1602470007.6360002,1602470008.07,9200.0,DE,3
919,0 days 02:33:30.000000000,4bb859,41.115325927734375,27.86444091796875,214.21450630912446,126.89741723042955,-12.354560000000001,PGT13K  ,False,False,False,6434.0,7520.94,7879.080000000001,1602470019.6379998,1602470019.6379998,9210.0,DE,3
920,0 days 02:33:40.000000000,4bb859,41.103607177734375,27.8851318359375,213.49426,126.86989764584402,-8.77824,PGT13K  ,False,False,False,6434.0,7406.64,7757.160000000003,1602470029.907,1602470029.907,9220.0,DE,3
921,0 days 02:33:50.000000000,4bb859,41.09217239638507,27.90533585981889,211.0261578435199,126.67434966957316,-7.80288,PGT13K  ,False,False,False,6434.0,7322.820000000002,7673.34,1602470039.908,1602470039.964,9230.0,DE,3
922,0 days 02:34:00.000000000,4bb859,41.081791247351696,27.923812866210927,208.86679819152263,126.58765470957316,-10.07872,PGT13K  ,False,False,False,6434.0,7239.0,7581.9,1602470049.137,1602470049.962,9240.0,DE,3
923,0 days 02:34:10.000000000,4bb859,41.069732666015625,27.9451904296875,207.734117922475,126.64287246639799,-10.72896,PGT13K  ,False,False,False,6434.0,7124.700000000003,7475.22,1602470059.834,1602470059.834,9250.0,DE,3
924,0 days 02:34:20.000000000,4bb859,41.05865478515625,27.9649491743608,206.2946097895301,126.5841355289675,-10.07872,PGT13K  ,False,False,False,6434.0,7025.64,7353.3,1602470069.8820002,1602470069.8820002,9260.0,DE,3
925,0 days 02:34:30.000000000,4bb859,41.04845984507415,27.9829892245206,204.74935828541214,126.72593870377204,-9.7536,PGT13K  ,False,False,False,6434.0,6934.200000000003,7277.1,1602470079.276,1602470079.276,9270.0,DE,3
926,0 days 02:34:40.000000000,4bb859,41.03691489009535,28.00352616743608,201.45721626008802,126.694323794444,-13.0048,PGT13K  ,False,False,False,6434.0,6819.900000000002,7147.56,1602470089.742,1602470089.9910002,9280.0,DE,3
927,0 days 02:34:50.000000000,4bb859,41.02615356445313,28.0225830078125,198.88500849308804,126.69205306590193,-15.280640000000002,PGT13K  ,False,False,False,6434.0,6675.12,7002.7800000000025,1602470099.82,1602470099.82,9290.0,DE,3
928,0 days 02:35:00.000000000,4bb859,41.01548767089844,28.04150390625,196.31280104665692,126.6897228324758,-15.280640000000002,PGT13K  ,False,False,False,6434.0,6522.72,6842.76,1602470109.8679998,1602470109.8679998,9300.0,DE,3
929,0 days 02:35:10.000000000,4bb859,41.00495910644531,28.06011962890625,194.46051248029084,126.71832186317572,-16.256,PGT13K  ,False,False,False,6434.0,6362.700000000003,6675.120000000001,1602470119.909,1602470119.909,9310.0,DE,3
930,0 days 02:35:20.000000000,4bb859,40.99484252929688,28.07806396484375,193.3283016072937,126.77841962961935,-17.881600000000006,PGT13K  ,False,False,False,6434.0,6195.06,6492.2400000000025,1602470129.52,1602470129.52,9320.0,DE,3
931,0 days 02:35:30.000000000,4bb859,40.9844970703125,28.09619140625,192.19630593982674,126.83922538993406,-16.256,PGT13K  ,False,False,False,6434.0,6027.42,6316.980000000001,1602470139.5679998,1602470139.788,9330.0,DE,3
932,0 days 02:35:40.000000000,4bb859,40.97472110037076,28.11345187100497,191.47616737363808,126.80832240946043,-17.231360000000002,PGT13K  ,False,False,False,6434.0,5867.400000000002,6149.34,1602470148.972,1602470149.8379998,9340.0,DE,3
933,0 days 02:35:50.000000000,4bb859,40.96376037597656,28.1328125,190.34428,126.86989764584402,-15.930879999999998,PGT13K  ,False,False,False,6434.0,5692.14,5966.46,1602470159.668,1602470159.668,9350.0,DE,3
934,0 days 02:36:00.000000000,4bb859,40.95368957519531,28.15057373046875,188.49230968100238,126.90117263155508,-15.60576,PGT13K  ,False,False,False,6434.0,5532.12,5791.2,1602470169.498,1602470169.935,9360.0,DE,3
935,0 days 02:36:10.000000000,4bb859,40.94329833984375,28.168758045543324,187.0518666972476,126.83838181870728,-16.581120000000002,PGT13K  ,False,False,False,6434.0,5372.1,5638.8,1602470179.7670002,1602470179.99,9370.0,DE,3
936,0 days 02:36:20.000000000,4bb859,40.933502197265625,28.18597412109375,186.64039663855428,126.93306827020693,-18.20672,PGT13K  ,False,False,False,6434.0,5196.84,5455.92,1602470189.605,1602470189.605,9380.0,DE,3
937,0 days 02:36:30.000000000,4bb859,40.92323432534428,28.204089078036226,186.64039663855428,126.93306827020693,-16.90624,PGT13K  ,False,False,False,6434.0,5013.96,5257.8,1602470199.663,1602470199.87,9390.0,DE,3
